num,id,content,sentiment,trend,sen_value,avg_senti,delta,noun
297,201901061231086368,前面我回复的意见您还没回答我。。。。||看来12時之前和我对话的是另一位朋友了，到12点，尽管显示对方己收到去没回音。现在您来了，主动询问我，我很感谢!上午我跟那位朋友对话您看不到吧？复述要从你们要求我去下载什么APP开始，很费勁!我只想知道，如果我不下载，我的储蓄卡里惯常报告收入支出余额的服务是否就中断了？||都收到的。||因多次收到你们发来的要我们办理融E联。。。什么服务的APP，我们年迈不会操作，请求指点步骤，这才生出原先很满意的服务是否要废除的问题!||谢谢您详尽的讲解。我们还是维原状比较习惯。但对创新精神老夫还要点赞。。。。。||谢谢您，年轻人!願新时代的阳光照亮你们传承改革创新路上的沟沟坎坎弯弯。。。。||,"[0.9999883204221688, 0.9999607699177189, 0.8601845117682061, 0.3986336882035366, 0.00019084662802415497, 0.011490678770980312]",pos,0.999973495,0.545074803,-0.454898692,"['意见', '朋友', '对方', '回音', '朋友', '话', '储蓄', '收入', '支出', '余额', '步骤', '问题', '原状', '精神', '要点', '年轻人', '时代', '阳光', '路', '沟', '沟坎']"
356,201901150331391296,为什么转账登录的时候密码还没有输入完全就关闭了||登录的时候不等密码输入完整就直接关闭了||我现在就是在工行融E联APP上，我一直用这个来登录转账的||,"[0.9956095056508589, 0.36147545466670017, 0.47963150696939283]",pos,0.985912648,0.612238822,-0.373673826,"['时候', '密码', '时候', '密码']"
74,201901021130947104,[Facepalm]我想知道的是如何详询贷款经办行，是电话客服还是需要去柜面办理||好的谢谢，重庆，工行巴南支行||,"[0.9875410369892775, 0.07640660900304841]",pos,0.827140057,0.531973823,-0.295166234,['支行']
353,201901150231390016,一直提示这个，然后跳转到工行app又什么都没有，已经升级服务了||没有提醒…||好吧[喜泣]已经是最新了||好的，我试试看||,"[0.8700034737270156, 0.6171374637897409, 0.39251901633412567, 0.5532971328415834]",no_trend,0.840108675,0.608239272,-0.231869403,[]
53,201901021030943136,网上转账的时候显示向个人账户汇款选项录入不正确||这是什么原因了||,"[0.4390243902439026, 0.9553698757932483]",neg,0.924385725,0.697197133,-0.227188592,"['时候', '个人', '账户', '汇款', '原因']"
328,201901140631364608,存款利息怎么算||比如，百分之1.35，3个月，1万元能有多少利息||如果按上面那个计算，有多少利息呢||按照第一个产品计算，1万元到期，有多少利息？||理财计算器在哪里||手机银行定期存款后，急用，要怎么取||定期存款里的约转存期是什么意思||下面那个账户是什么意思？||我只添加了一个账户，怎么又出来了一个||怎么两个账号不一样||,"[0.539365925485966, 0.3072039075625369, 0.4285714285714284, 0.37946272620433874, 0.19380679168661574, 0.6813471926135386, 0.4023391041106418, 0.8020330678228416, 0.8509849880686662, 0.9297960679156426]",neg,0.77439027,0.55149112,-0.22289915,"['存款', '利息', '月', '利息', '利息', '产品', '利息', '计算器', '手机', '银行', '存款', '存款', '意思', '||', '账户', '意思', '账户', '账号']"
234,201901041131020352,查联行号||太原坞城世纪花园支行||,"[0.9318710098585338, 0.14485331324579898]",pos,0.628352961,0.538362162,-0.089990799,"['号', '城', '世纪', '花园', '支行']"
180,201901040831012864,你好，我昨天购买的理财怎么无法显示||在哪里查询是否购买成功||,"[0.5622752731630939, 0.7534892841080558]",no_trend,0.741279216,0.657882279,-0.083396938,[]
168,201901040431033760,转人工服务||我想问您一下银行卡额度提升要去柜台吗||总额度||单日额度可以提高吗||您好还在吗||,"[0.5072100027297333, 0.7642709336536204, 0.3240729283260858, 0.7475049286978644, 0.4433153078686727]",no_trend,0.594439283,0.55727482,-0.037164463,"['人工', '银行卡', '额度', '柜台', '总额', '额度']"
276,201901060331092992,我想知道我在工商贷过什么款||有一个8600是从哪贷出来的||我也不知道哪种贷款，但是从你家贷出来的||人工怎么直接连人工||,"[0.4737672181921926, 0.7591050157315845, 0.6229603126291587, 0.3914810501714172]",no_trend,0.591120629,0.561828399,-0.02929223,"['工商', '款', '贷款', '人工', '人工']"
16,201901020730936128,你是人吗∩||,[0.5443456329515354],no_trend,0.544345633,0.544345633,0,['人']
